,Unnamed: 0,Make,Model,Variant,Cylinders,Doors,Seating_Capacity,Gears,Ex-Showroom_Price,Fuel_Type,Drivetrain,Displacement,City_Mileage,Kerb_Weight,Cylinder_Configuration,Doors.1,Body_Type,Emission_Norm,Fuel_System,Fuel_Tank_Capacity,Height,Length,Width,Front_Brakes,Rear_Brakes,Power_Steering,Power,Torque,Odometer,Speedometer,Type,Wheelbase,Handbrake,Launch_Date
349,349,,Rolls-Royce Ghost Series Ii,6.6,12.0,4.0,5.0,8,"Rs. 4,67,09,733",Petrol,RWD (Rear Wheel Drive),6593 cc,10.5 km/litre,2490 kg,V,4.0,Sedan,BS IV,Injection,82.5 litres,1550 mm,5399 mm,1948 mm,Ventilated Disc,Ventilated Disc,Electric Power,563PS@5250rpm,780Nm@1700rpm,Digital,Analog,Automatic,3295 mm,Automatic,2019-01-15
350,350,,Rolls-Royce Ghost Series Ii,Ewb,12.0,4.0,5.0,8,"Rs. 5,32,47,201",Petrol,RWD (Rear Wheel Drive),6592 cc,,2490 kg,V,4.0,Sedan,BS IV,Injection,82.5 litres,1550 mm,5569 mm,1948 mm,Ventilated Disc,Ventilated Disc,Electric Power,570 bhp @ 5250 rpm,780 Nm @ 1500-5000 rpm,Digital,Analog,Automatic,3295 mm,Automatic,2019-05-20
351,351,,Rolls-Royce Wraith,Coupe,12.0,2.0,4.0,8,"Rs. 5,00,25,840",Petrol,AWD (All Wheel Drive),6592 cc,4.7 km/litre,2360 kg,V,2.0,Coupe,BS IV,Injection,83 litres,1507 mm,5269 mm,1947 mm,Ventilated Disc,Ventilated Disc,Electric Power,625PS@5600rpm,800Nm@1500-5500rpm,Digital,,Automatic,3112 mm,Automatic,2020-02-25
352,352,Bentley,Mulsanne,Sedan,8.0,4.0,4.0,8,"Rs. 5,25,71,294",Petrol,RWD (Rear Wheel Drive),6752 cc,6.2 km/litre,2685 kg,V,4.0,Sedan,BS IV,Injection,90 litres,1521 mm,5575 mm,2208 mm,Ventilated Disc,Ventilated Disc,Electric Power,512PS@4200rpm,1020Nm@1750rpm,Digital,Analog,Automatic,3266 mm,Automatic,2019-10-13
353,353,,Rolls-Royce Cullinan,Suv,12.0,5.0,5.0,8,"Rs. 6,95,00,000",Petrol,AWD (All Wheel Drive),6750 cc,,2753 kg,V,5.0,SUV,BS 6,Injection,,1835 mm,5341 mm,2000 mm,Ventilated Disc,Ventilated Disc,,563@5000rpm,850 Nm@1600rpm,,,Automatic,3295 mm,Automatic,2021-05-18
354,354,,Rolls-Royce Phantom Coupe,6.8 L,12.0,2.0,4.0,8,"Rs. 7,73,12,661",Petrol,RWD (Rear Wheel Drive),6749 cc,10.2 km/litre,2629 kg,V,2.0,Coupe,BS IV,Injection,100 litres,1598 mm,5612 mm,1987 mm,Ventilated Disc,Ventilated Disc,Electric Power,460PS@5350rpm,720Nm@3500rpm,Digital,Analog,Automatic,3320 mm,Automatic,2019-08-28
355,355,Bugatti,Chiron,W16,16.0,2.0,2.0,7,"Rs. 19,21,42,937",Petrol,RWD (Rear Wheel Drive),7993 cc,,1995 kg,W,2.0,Sports,BS 6,PGM - Fi,,1212 mm,4544 mm,2038 mm,Ventilated Disc,Ventilated Disc,Electric Power,1479bhp@6700rpm,1600Nm@2000-6000rpm,Digital,Digital,Automatic,2710 mm,Automatic,2021-06-25
356,356,Bugatti,Chiron,Sport,16.0,2.0,2.0,7 Dual Clutch,"Rs. 21,21,55,397",Petrol,RWD (Rear Wheel Drive),7993 cc,,1995 kg,W,2.0,Sports,BS 6,PGM - Fi,,1212 mm,4544 mm,2038 mm,Ventilated Disc,Ventilated Disc,Electric Power,1600Nm@2000-6000rpm,1479bhp@6700rpm,Digital,Digital,Automatic,2710 mm,Automatic,2019-02-19
357,357,Bajaj,Qute (Re60),Qcar,,4.0,4.0,5,"Rs. 2,63,000",Petrol,RWD (Rear Wheel Drive),216 cc,,,In-line,4.0,Hatchback,BS IV,Injection,,1652 mm,2752 mm,1312 mm,Drum,Drum,,13bhp@5500rpm,18.9Nm@4000rpm,Yes,Yes,Manual,1925 mm,Manual,2021-12-30
358,358,Bajaj,Qute (Re60),Qcar Cng,,4.0,4.0,5,"Rs. 2,83,000",CNG,RWD (Rear Wheel Drive),216 cc,,,In-line,4.0,Hatchback,BS IV,Injection,,1652 mm,2752 mm,1312 mm,Drum,Drum,,12bhp@5500rpm,16.1Nm@4000rpm,Yes,Yes,Manual,1925 mm,Manual,2019-08-24
